inpX inpY inpRad outpX outpY outpRad lnkUsg
134.01 128.44 5.8 -15.47 0 3.9 0
185.45 70.03 8.7 12.19 12.19 4 3
84.8 44.8 13.6 -44.5 44.5 7.8 1
176.22 122.56 4.7 2.65 0.86 2.8 2
139.4 91.64 6.6 -9.76 7.09 3.6 0
139.4 91.64 6.6 -14.72 4.78 3.9 0
134.54 70.03 8.7 -19.11 37.52 6.1 0
141.27 62.37 9.1 -12.19 12.19 4 5
93.47 98.38 10.1 -32.619 5.16 5.3 4
176.05 97.89 5.8 7.13 5.18 3.3 0
141 126.17 5.1 -5.72 0 3 1
160 59.4 9.1 -5.16 32.619 5.3 0
107.08 47.16 12 -33.21 33.21 6.5 0
166.17 138.99 5.1 -0.86 -2.65 2.8 2
84.8 44.8 13.6 -37.52 19.11 6.1 0
171.7 46.12 10.5 0 39.76 5.9 0
107.08 47.16 12 -36.8 36.8 6.9 0
92.58 52.58 12.6 -33.21 33.21 6.5 0
80.24 119.99 11 -35.22 0 5.5 3
80.24 119.99 11 -32.619 5.16 5.3 0
102.37 138.72 9.1 -20.66 -3.27 4.3 3
107.11 67.11 10.5 -44.24 32.14 7.1 0
160 68.33 8.3 2.15 13.58 3.7 0
137.98 97.98 6.2 -14.72 4.78 3.9 4
148.29 46.12 10.5 -12.28 37.81 5.9 0
173.33 78.95 7.4 0 39.76 5.9 0
125.2 102.27 7 -13.58 2.15 3.7 2
135.35 44.14 11 -12.28 37.81 5.9 0
134.54 70.03 8.7 -26.16 36.01 6.3 0
100.76 38.46 13.1 -29.77 29.77 6.1 0
171.61 131.61 4.7 6.46 -3.29 3.2 2
164.36 111.44 4 1.22 0.62 2.6 2
113.11 55.47 11 -32.14 44.24 7.1 0
132.17 34.37 12 -21.32 41.85 6.5 0
117.8 98.49 7.8 -25.45 8.26 4.8 0
138.38 53.47 10.1 -9.54 29.38 5.2 0
151.22 64.61 8.7 0 35.22 5.5 0
145.86 92.25 6.2 -7.37 7.37 3.4 2
146.72 36.21 11.5 0 22.81 4.5 0
113.11 55.47 11 -26.49 26.49 5.7 0
76.65 36.65 14.7 -36.01 26.16 6.3 0
74.37 92.17 12 -41.59 6.58 6.1 0
104.61 128.77 8.7 -26.76 0 4.8 0
104.61 128.77 8.7 -30.89 0 5.2 0
160 59.4 9.1 0 44.51 6.3 0
157.43 103.77 4.7 -4.63 3.36 3 5
126.51 86.51 7.8 -18.12 5.89 4.2 2
141.27 62.37 9.1 -13.75 42.33 6.3 0
145.86 92.25 6.2 -21.32 41.85 6.5 0
170.2 55.58 9.6 7.34 46.39 6.5 0
184.64 44.14 11 13.75 42.33 6.3 0
159.51 116.91 3.4 1.22 0.62 2.6 1
95.58 130.2 9.6 -30.89 0 5.2 0
95.58 130.2 9.6 -28.44 -4.5 5 0
181.61 53.47 10.1 6.58 41.59 6.1 0
87.16 67.08 12 -33.5 10.88 5.5 4
176.68 103.31 5.5 8.38 2.72 3.3 2
188.35 140.59 6.6 15.36 -7.83 4 2
132.17 34.37 12 -3.87 24.46 4.6 0
152.59 73.22 7.8 -7.34 46.39 6.5 0
54.98 66.49 14.7 -42.33 13.75 6.3 6
160 29.97 12 4.5 28.44 5 0
126.04 53.35 10.5 -19.11 37.52 6.1 0
113.11 55.47 11 -40.56 40.56 7.4 0
69.35 54.14 14.2 -42.33 13.75 6.3 4
160 29.97 12 0 22.81 4.5 3
54.96 103.36 13.6 -49.48 0 6.7 0
121.48 44.41 11.5 -21.32 41.85 6.5 0
65.82 105.08 12.6 -44.51 0 6.3 2
160 29.97 12 6.58 41.59 6.1 0
157.43 103.77 4.7 1.22 0.62 2.6 0
175.96 70.86 8.3 17.01 33.38 5.7 0
171.61 131.61 4.7 1.22 0.62 2.6 1
139.4 148.35 6.6 -9.76 -7.09 3.6 2
139.4 148.35 6.6 -9.28 -4.73 3.4 0
126.04 186.64 10.5 -14.79 -14.79 4.3 10
184.64 44.14 11 9.54 29.38 5.2 0
130.39 178.1 9.6 -14.79 -14.79 4.3 9
170.71 98.97 5.5 2.72 8.38 3.3 0
166.1 158.57 7 2.72 -8.38 3.3 2
84.14 144.64 11 -37 -5.86 5.7 0
84.8 44.8 13.6 -36.01 26.16 6.3 0
171.7 193.87 10.5 4.78 -14.72 3.9 -1
116.71 35.04 12.6 -19.11 37.52 6.1 0
184.64 195.85 11 11.2 -15.42 4.2 9
184.64 195.85 11 9.49 -18.63 4.3 0
118.95 106.66 7.4 -13.58 2.15 3.7 2
187.82 34.37 12 14.99 29.43 5.3 0
174.91 25.82 12.6 17.01 33.38 5.7 0
144.03 70.86 8.3 -12.19 12.19 4 0
121.48 195.58 11.5 -14.79 -14.79 4.3 5
126.66 130.82 6.6 -17.03 -2.69 4 1
69.35 185.85 14.2 -37.81 -12.28 5.9 4
143.77 117.43 4.7 1.22 0.62 2.6 0
168.44 145.98 5.8 3.29 -6.46 3.2 2
168.44 145.98 5.8 1.13 -7.16 3.2 0
64.14 151.14 13.1 -37 -5.86 5.7 3
126.51 153.48 7.8 -12.25 -6.24 3.7 0
126.51 153.48 7.8 -15.36 -7.83 4 0
160 189.95 10.1 0 -15.47 3.9 12
84.8 195.19 13.6 -29.43 -14.99 5.3 6
167.45 134.63 4.7 1.22 0.62 2.6 0
65.239 168.28 13.6 -37.81 -12.28 5.9 1
163.69 143.3 5.5 -0.66 -4.19 2.9 0
68.14 28.14 15.9 -41.85 21.32 6.5 9
151.55 145.98 5.8 -3.36 -4.63 3 3
134.54 169.96 8.7 -14.79 -14.79 4.3 -1
149.79 184.41 9.6 0 -15.47 3.9 0
174.63 112.54 4.7 6.46 3.29 3.2 0
151.22 175.38 8.7 -9.72 -9.72 3.7 0
168.77 175.38 8.7 3.72 -11.47 3.6 5
68.14 28.14 15.9 -46.38 23.63 6.9 0
160 171.66 8.3 3.72 -11.47 3.6 4
116.71 35.04 12.6 -11.24 22.06 4.6 0
68.14 28.14 15.9 -33.21 33.21 6.5 0
171.7 193.87 10.5 2.69 -17.03 4 4
134.54 70.03 8.7 -12.19 12.19 4 0
126.04 53.35 10.5 -23.37 32.16 5.9 0
193.33 130.82 6.6 15.47 0 3.9 0
193.33 130.82 6.6 12.06 0 3.6 0
87.16 172.91 12 -33.5 -10.88 5.5 2
113.88 166.11 9.6 -22.06 -11.24 4.6 3
116.71 35.04 12.6 -18.15 24.99 5.2 1
160 29.97 12 -3.87 24.46 4.6 1
149.79 55.58 9.6 -4.78 14.72 3.9 1
65.239 71.71 13.6 -42.33 13.75 6.3 2
174.13 147.74 6.2 1.77 -5.44 3 0
