Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432314335, 7, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314335, 7, 0, 0, 0, 1, l, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314340, 7, 0, 0, 0, 0, l, reaching, 0.094207, -0.292553, -0.255843, 0.225565, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314369, 7, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314377, 7, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314379, 7, 2, 0, 1, 1, l, reaching, 0.168382, -0.19502, -0.236614, 0.364454, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314384, 7, 2, 0, 1, 0, l, complete, 0.0949771, -0.296675, -0.256736, 0.221694, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314390, 7, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314392, 7, 2, 0, 1, 1, l, reaching, 0.167538, -0.195595, -0.238076, 0.363921, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314396, 7, 2, 0, 1, 0, l, complete, 0.0959278, -0.294376, -0.257537, 0.22221, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314403, 7, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314405, 7, 2, 0, 1, 1, l, reaching, 0.160593, -0.201352, -0.238469, 0.359671, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314409, 7, 2, 0, 1, 0, l, complete, 0.0956941, -0.295094, -0.257294, 0.221965, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314414, 7, 2, 0, 1, 0, l, waiting, 0.0956941, -0.295094, -0.257294, 0.221965, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314414, 7, 2, 0, 0, 1, r, waiting, 0.0956941, -0.295094, -0.257294, 0.221965, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
