x y radius usage
76.65 36.65 14.7 -1
148.26 136.15 5.1 7
160 40.24 11 2
121.48 44.41 11.5 -2
134.01 128.44 5.8 1
185.45 70.03 8.7 4
84.8 44.8 13.6 1
176.22 122.56 4.7 3
139.4 91.64 6.6 0
139.4 91.64 6.6 0
134.54 70.03 8.7 1
141.27 62.37 9.1 8
93.47 98.38 10.1 6
176.05 97.89 5.8 0
141 126.17 5.1 1
160 59.4 9.1 -1
107.08 47.16 12 5
166.17 138.99 5.1 11
84.8 44.8 13.6 1
171.7 46.12 10.5 1
107.08 47.16 12 5
92.58 52.58 12.6 1
80.24 119.99 11 5
80.24 119.99 11 5
102.37 138.72 9.1 4
107.11 67.11 10.5 2
160 68.33 8.3 -3
137.98 97.98 6.2 6
148.29 46.12 10.5 3
173.33 78.95 7.4 1
125.2 102.27 7 3
135.35 44.14 11 0
134.54 70.03 8.7 1
100.76 38.46 13.1 15
171.61 131.61 4.7 4
164.36 111.44 4 2
113.11 55.47 11 8
132.17 34.37 12 2
117.8 98.49 7.8 4
138.38 53.47 10.1 2
151.22 64.61 8.7 0
145.86 92.25 6.2 3
146.72 36.21 11.5 5
113.11 55.47 11 8
76.65 36.65 14.7 -1
74.37 92.17 12 -3
104.61 128.77 8.7 0
104.61 128.77 8.7 0
160 59.4 9.1 -1
157.43 103.77 4.7 7
126.51 86.51 7.8 5
141.27 62.37 9.1 8
145.86 92.25 6.2 3
170.2 55.58 9.6 2
184.64 44.14 11 -1
159.51 116.91 3.4 1
95.58 130.2 9.6 0
95.58 130.2 9.6 0
181.61 53.47 10.1 1
87.16 67.08 12 13
176.68 103.31 5.5 5
188.35 140.59 6.6 1
132.17 34.37 12 2
152.59 73.22 7.8 0
54.98 66.49 14.7 8
160 29.97 12 3
126.04 53.35 10.5 18
113.11 55.47 11 8
69.35 54.14 14.2 10
160 29.97 12 3
54.96 103.36 13.6 0
121.48 44.41 11.5 -2
65.82 105.08 12.6 3
160 29.97 12 3
157.43 103.77 4.7 7
175.96 70.86 8.3 1
171.61 131.61 4.7 4
139.4 148.35 6.6 3
139.4 148.35 6.6 3
126.04 186.64 10.5 16
184.64 44.14 11 -1
130.39 178.1 9.6 13
170.71 98.97 5.5 5
166.1 158.57 7 3
84.14 144.64 11 29
84.8 44.8 13.6 1
171.7 193.87 10.5 4
116.71 35.04 12.6 2
184.64 195.85 11 14
184.64 195.85 11 14
118.95 106.66 7.4 3
187.82 34.37 12 2
174.91 25.82 12.6 -3
144.03 70.86 8.3 -1
121.48 195.58 11.5 7
126.66 130.82 6.6 1
69.35 185.85 14.2 7
143.77 117.43 4.7 1
168.44 145.98 5.8 3
168.44 145.98 5.8 3
64.14 151.14 13.1 4
126.51 153.48 7.8 0
126.51 153.48 7.8 0
160 189.95 10.1 18
84.8 195.19 13.6 9
167.45 134.63 4.7 15
65.239 168.28 13.6 2
163.69 143.3 5.5 2
68.14 28.14 15.9 15
151.55 145.98 5.8 5
134.54 169.96 8.7 -1
149.79 184.41 9.6 0
174.63 112.54 4.7 10
151.22 175.38 8.7 0
168.77 175.38 8.7 8
68.14 28.14 15.9 15
160 171.66 8.3 6
116.71 35.04 12.6 2
68.14 28.14 15.9 15
171.7 193.87 10.5 4
134.54 70.03 8.7 1
126.04 53.35 10.5 18
193.33 130.82 6.6 0
193.33 130.82 6.6 0
87.16 172.91 12 3
113.88 166.11 9.6 4
116.71 35.04 12.6 2
160 29.97 12 3
149.79 55.58 9.6 -2
65.239 71.71 13.6 7
174.13 147.74 6.2 0
59.21 119.99 13.1 5
87.22 19.83 15.3 4
181.61 186.52 10.1 3
92.58 187.41 12.6 8
100.01 179.98 11.5 0
100.01 179.98 11.5 0
179.4 114.692 4.7 0
179.4 114.692 4.7 0
160 155.04 6.6 3
94.14 29.35 14.2 -3
145.08 25.82 12.6 10
100.01 60.01 11.5 2
162.56 103.77 4.7 2
68.14 28.14 15.9 15
121.48 44.41 11.5 -2
69.97 119.99 12 16
101.89 149.6 9.6 3
111.71 25.24 13.6 -2
145.86 147.74 6.2 0
116.71 35.04 12.6 2
95.47 166.88 11 3
142.27 154.79 7 -1
128.85 24.14 13.1 4
69.35 185.85 14.2 7
103.4 161.11 10.1 0
103.4 161.11 10.1 0
128.85 24.14 13.1 4
160 163.15 7.4 0
152.59 166.77 7.8 0
152.59 166.77 7.8 0
111.71 25.24 13.6 -2
144.03 169.13 8.3 3
94.14 29.35 14.2 -3
76.65 36.65 14.7 -1
54.98 173.5 14.7 1
111.71 25.24 13.6 -2
178.72 177.62 9.1 2
178.72 177.62 9.1 2
160 29.97 12 3
94.14 29.35 14.2 -3
124.38 169.02 9.1 2
124.38 169.02 9.1 2
78.46 179.23 13.1 1
187.32 120 5.8 6
195.04 120 6.6 1
195.04 120 6.6 1
102.37 101.27 9.1 1
173.27 36.21 11.5 -2
136.69 116.3 5.5 9
135.35 195.85 11 1
116.71 35.04 12.6 2
132.17 34.37 12 2
174.91 25.82 12.6 -3
138.49 162.19 7.8 0
138.49 162.19 7.8 0
143.31 103.31 5.5 1
53.44 154.62 14.2 1
68.14 28.14 15.9 15
149.17 153.33 6.6 0
153.89 158.57 7 0
153.89 158.57 7 0
170.2 184.41 9.6 -1
188.35 99.4 6.6 1
75.04 163.28 12.6 1
184.64 44.14 11 -1
125.08 145.36 7.4 -1
132.17 34.37 12 2
132.17 34.37 12 2
107.11 172.88 10.5 0
164.87 150.75 6.2 0
59.83 47.22 15.3 -4
185.45 169.96 8.7 3
171.61 108.38 4.7 6
185.45 169.96 8.7 3
90.04 119.99 10.1 10
171.7 46.12 10.5 1
93.35 153.95 10.5 1
102.37 138.72 9.1 4
84.41 158.51 11.5 4
54.96 136.63 13.6 7
94.14 29.35 14.2 -3
107.08 47.16 12 5
120.34 159.65 8.7 0
120.34 159.65 8.7 0
100.76 201.53 13.1 1
173.27 36.21 11.5 -2
146.72 36.21 11.5 5
