x y radius
149.28 98.97 5.5
143.94 97.89 5.8
145.86 92.25 6.2
139.4 91.64 6.6
142.27 85.2 7
134.63 85.08 7.4
138.49 77.8 7.8
129.63 78.2 8.3
134.54 70.03 8.7
124.38 70.97 9.1
130.39 61.89 9.6
118.88 63.4 10.1
126.04 53.35 10.5
113.11 55.47 11
121.48 44.41 11.5
107.08 47.16 12
116.71 35.04 12.6
100.76 38.46 13.1
111.71 25.24 13.6
94.14 29.35 14.2
106.49 14.98 14.7
87.22 19.83 15.3
101.02 4.25 15.9
79.98 9.86 16.5
159.51 116.91 3.4
158.04 113.98 3.7
158.49 110.51 4
155.99 107.66 4.4
157.43 103.77 4.7
153.82 101 5.1
156.3 96.69 5.5
151.55 94.01 5.8
155.12 89.24 6.2
149.17 86.66 6.6
153.89 81.42 7
146.66 78.95 7.4
152.59 73.22 7.8
144.03 70.86 8.3
151.22 64.61 8.7
141.27 62.37 9.1
149.79 55.58 9.6
138.38 53.47 10.1
148.29 46.12 10.5
135.35 44.14 11
146.72 36.21 11.5
132.17 34.37 12
145.08 25.82 12.6
128.85 24.14 13.1
143.36 14.96 13.6
125.37 13.44 14.2
141.56 3.59 14.7
121.73 2.24 15.3
160.48 116.91 3.4
160 113.67 3.7
161.5 110.51 4
160 107.02 4.4
162.56 103.77 4.7
160 100.03 5.1
163.69 96.69 5.5
160 92.67 5.8
164.87 89.24 6.2
160 84.95 6.6
166.1 81.42 7
160 76.84 7.4
167.4 73.22 7.8
160 68.33 8.3
168.77 64.61 8.7
160 59.4 9.1
170.2 55.58 9.6
160 50.04 10.1
171.7 46.12 10.5
160 40.24 11
173.27 36.21 11.5
160 29.97 12
174.91 25.82 12.6
160 19.21 13.1
176.63 14.96 13.6
160 7.96 14.2
178.43 3.59 14.7
161.41 117.22 3.4
161.95 113.98 3.7
164.36 111.44 4
164 107.66 4.4
167.45 105.36 4.7
166.17 101 5.1
170.71 98.97 5.5
168.44 94.01 5.8
174.13 92.25 6.2
170.82 86.66 6.6
177.72 85.2 7
173.33 78.95 7.4
181.5 77.8 7.8
175.96 70.86 8.3
185.45 70.03 8.7
178.72 62.37 9.1
189.6 61.89 9.6
181.61 53.47 10.1
193.95 53.35 10.5
184.64 44.14 11
198.51 44.41 11.5
187.82 34.37 12
203.28 35.04 12.6
191.14 24.14 13.1
208.28 25.24 13.6
194.62 13.44 14.2
213.5 14.98 14.7
198.26 2.24 15.3
218.97 4.25 15.9
162.2 117.79 3.4
163.71 114.88 3.7
166.79 113.2 4
167.62 109.5 4.4
171.61 108.38 4.7
171.73 103.84 5.1
176.68 103.31 5.5
176.05 97.89 5.8
182.01 97.98 6.2
180.59 91.64 6.6
187.61 92.38 7
185.36 85.08 7.4
193.48 86.51 7.8
190.36 78.2 8.3
199.65 80.34 8.7
195.61 70.97 9.1
206.11 73.88 9.6
201.11 63.4 10.1
212.88 67.11 10.5
206.88 55.47 11
219.98 60.01 11.5
212.91 47.16 12
227.41 52.58 12.6
219.23 38.46 13.1
235.19 44.8 13.6
225.85 29.35 14.2
243.34 36.65 14.7
232.77 19.83 15.3
251.85 28.14 15.9
240.01 9.86 16.5
260.76 19.23 17.1
270.06 9.93 18.4
279.79 0.2 19.7
162.77 118.58 3.4
165.11 116.28 3.7
168.55 115.63 4
170.49 112.37 4.4
174.63 112.54 4.7
176.15 108.26 5.1
181.02 109.28 5.5
182.1 103.94 5.8
187.74 105.86 6.2
188.35 99.4 6.6
194.79 102.27 7
194.91 94.63 7.4
202.19 98.49 7.8
201.79 89.63 8.3
209.96 94.54 8.7
209.02 84.38 9.1
218.1 90.39 9.6
216.59 78.88 10.1
226.64 86.04 10.5
224.52 73.11 11
235.58 81.48 11.5
232.83 67.08 12
244.95 76.71 12.6
241.53 60.76 13.1
254.75 71.71 13.6
250.64 54.14 14.2
265.01 66.49 14.7
260.16 47.22 15.3
275.74 61.02 15.9
270.13 39.98 16.5
286.96 55.3 17.1
280.54 32.41 17.8
298.69 49.33 18.4
291.43 24.5 19.1
310.94 43.08 19.7
302.8 16.24 20.4
314.68 7.61 21.8
