x y radius usage
151.22 64.61 8.7 -1
195.189 112.953 5.8 0
195.193 112.964 5.8 0
132.17 34.37 12 0
160 180.59 9.1 1
152.59 73.22 7.8 2
152.59 73.22 7.8 2
130.39 61.89 9.6 4
230.164 106.147 12 0
128.85 24.14 13.1 6
160 50.04 10.1 1
170.49 127.62 4.4 2
152.59 166.77 7.8 1
84.14 95.35 11 -1
84.14 95.35 11 -1
93.47 141.61 10.1 1
153.82 138.99 5.1 3
190.36 161.79 8.3 0
202.19 141.5 7.8 0
190.36 161.79 8.3 0
134.01 128.44 5.8 1
126.51 153.48 7.8 1
166.01 121.95 3.7 2
141 126.17 5.1 1
90.04 119.99 10.1 0
90.04 119.99 10.1 0
149.28 141.02 5.5 4
87.16 67.08 12 0
87.16 67.08 12 0
69.35 54.14 14.2 2
169.48 121.5 4 3
157.43 136.22 4.7 0
69.35 54.14 14.2 2
110.97 155.61 9.1 1
173.27 203.78 11.5 1
164.87 150.75 6.2 1
215.435 106.813 10.1 0
215.344 106.833 10.1 0
137.98 97.98 6.2 3
195.61 169.02 9.1 0
129.63 161.79 8.3 3
93.35 153.95 10.5 8
174.63 127.45 4.7 1
128.85 215.85 13.1 6
153.67 120 3.7 5
116.71 35.04 12.6 5
116.71 35.04 12.6 5
160 29.97 12 0
270.06 9.93 18.4 0
232.77 19.83 15.3 6
270.06 9.93 18.4 0
125.2 137.72 7 1
194.91 145.36 7.4 1
106.49 225.01 14.7 6
86.12 108.29 10.5 11
86.12 108.29 10.5 11
180.59 148.35 6.6 1
166.79 113.2 4 6
100.76 38.46 13.1 -1
203.28 204.95 12.6 1
136.69 116.3 5.5 1
143.36 14.96 13.6 0
143.36 14.96 13.6 0
179.96 120 5.1 0
191.66 113.029 5.8 0
191.702 113.022 5.8 0
191.702 113.022 5.8 0
209.96 94.54 8.7 0
286.96 55.3 17.1 2
181.02 109.28 5.5 2
235.19 44.8 13.6 2
286.96 55.3 17.1 2
255.502 91.663 12.6 0
255.568 91.621 12.6 0
255.568 91.621 12.6 0
243.34 36.65 14.7 -1
244.95 76.71 12.6 4
243.34 36.65 14.7 -1
160 19.21 13.1 0
145.08 25.82 12.6 13
135.35 44.14 11 -1
132.17 205.62 12 1
160 220.78 13.1 -2
132.17 205.62 12 1
95.47 166.88 11 0
160 126.32 3.7 2
95.47 166.88 11 0
157.43 136.22 4.7 0
181.5 77.8 7.8 0
181.5 77.8 7.8 0
163.71 125.11 3.7 0
163.69 143.3 5.5 1
160.48 116.91 3.4 1
86.12 131.7 10.5 0
59.21 119.99 13.1 2
143.77 117.43 4.7 6
131.64 99.4 6.6 1
239.75 120 11 1
93.35 86.04 10.5 0
111.71 214.75 13.6 1
65.82 105.08 12.6 0
65.82 105.08 12.6 0
152.54 134.63 4.7 1
176.15 131.73 5.1 2
121.48 195.58 11.5 -1
65.239 71.71 13.6 2
195.04 120 6.6 1
165.11 123.71 3.7 0
54.98 66.49 14.7 1
145.36 127.45 4.7 11
125.37 226.55 14.2 1
84.14 144.64 11 2
76.21 106.72 11.5 1
152.37 130.49 4.4 0
161.95 126.01 3.7 0
54.98 66.49 14.7 1
218.1 90.39 9.6 1
160 199.75 11 1
152.54 105.36 4.7 2
198.57 126.1 7 1
193.95 186.64 10.5 3
69.97 119.99 12 5
141.27 62.37 9.1 -3
161.41 122.77 3.4 1
111.71 25.24 13.6 1
171.73 103.84 5.1 0
117.8 98.49 7.8 3
84.41 81.48 11.5 -1
189.762 113.148 5.8 0
129.63 78.2 8.3 1
157.79 122.2 3.4 0
74.37 147.82 12 6
86.12 108.29 10.5 11
65.82 134.91 12.6 4
187.74 105.86 6.2 1
87.16 172.91 12 6
92.58 187.41 12.6 -2
103.4 161.11 10.1 2
148.29 46.12 10.5 0
148.29 46.12 10.5 0
148.29 46.12 10.5 0
166.32 120 3.7 0
186.415 112.971 5.8 0
84.41 81.48 11.5 -1
144.03 70.86 8.3 1
76.65 203.34 14.7 1
76.65 203.34 14.7 1
87.22 19.83 15.3 0
121.48 44.41 11.5 2
142.27 154.79 7 2
121.48 44.41 11.5 2
76.21 133.27 11.5 -1
280.54 32.41 17.8 0
280.54 32.41 17.8 0
75.04 163.28 12.6 1
181.02 130.71 5.5 1
168.77 175.38 8.7 0
100.76 38.46 13.1 -1
143.31 103.31 5.5 4
213.5 14.98 14.7 1
149.17 86.66 6.6 1
191.14 215.85 13.1 0
145.08 214.17 12.6 3
162.56 103.77 4.7 4
76.21 133.27 11.5 -1
145.08 214.17 12.6 3
68.14 28.14 15.9 1
116.71 204.95 12.6 -2
102.37 101.27 9.1 1
247.331 105.87 12 0
247.366 105.759 12 0
113.11 55.47 11 -1
107.08 47.16 12 0
180.59 91.64 6.6 1
188.35 99.4 6.6 0
260.76 19.23 17.1 1
188.35 99.4 6.6 0
143.84 131.73 5.1 4
148.38 131.61 4.7 -1
110.03 94.54 8.7 1
174.63 112.54 4.7 -1
174.63 112.54 4.7 -1
84.41 158.51 11.5 4
176.22 122.56 4.7 0
185.98 128.44 5.8 2
185.98 128.44 5.8 2
189.6 178.1 9.6 1
79.98 230.13 16.5 0
110.03 145.45 8.7 0
80.24 119.99 11 3
134.63 154.91 7.4 0
79.98 230.13 16.5 0
65.239 168.28 13.6 0
93.47 98.38 10.1 5
187.74 134.13 6.2 1
157.79 117.79 3.4 0
174.13 92.25 6.2 1
