Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1431549262, 4, 1, 0, 1, 1, l, reaching, 0.195417, -0.173051, -0.23302, 0.381171, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549264, 4, 1, 0, 0, 1, r, reaching, 0.29234, -0.141624, 0.2268, 0.391866, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549270, 4, 1, 0, 1, 1, r, reaching, 0.176161, -0.206124, 0.153479, 0.319012, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549275, 4, 1, 0, 1, 1, r, reaching, 0.132713, -0.233711, 0.128235, 0.283952, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549276, 4, 1, 0, 1, 0, r, complete, 0.129101, -0.23924, 0.130317, 0.277984, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549285, 4, 1, 0, 1, 1, l, reaching, 0.130428, -0.228821, -0.21966, 0.337503, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549286, 4, 1, 0, 1, 0, l, reaching, 0.100106, -0.257698, -0.211553, 0.304828, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549301, 4, 0, 0, 1, 0, l, complete, 0.0823518, -0.28338, -0.250815, 0.251597, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549301, 4, 0, 0, 1, 0, l, complete, 0.0823518, -0.28338, -0.250815, 0.251597, 0.141084, 0.1, 0.20625, 0.183241, 0.215, 0.000927734, 
1431549309, 4, 0, 0, 1, 1, l, reaching, 0.101757, -0.254198, -0.216859, 0.30884, 0.141084, 0.1, 0.20625, 0.183241, 0.215, 0.000927734, 
1431549314, 4, 0, 0, 1, 1, l, reaching, 0.0903129, -0.283962, -0.250985, 0.238401, 0.146253, 0.1, 0.20625, 0.209085, 0.215, 0.000927734, 
1431549315, 4, 0, 0, 0, 1, r, reaching, 0.319312, -0.117994, 0.239004, 0.400196, 0.144031, 0.1, 0.20625, 0.197978, 0.215, 0.000927734, 
1431549318, 4, 0, 0, 0, 1, r, reaching, 0.288389, -0.144418, 0.224876, 0.389726, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549322, 4, 0, 0, 1, 1, l, reaching, 0.090997, -0.283782, -0.254016, 0.237714, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549323, 4, 0, 0, 1, 0, l, complete, 0.0886558, -0.283041, -0.254822, 0.242095, 0.138781, 0.1, 0.20625, 0.171729, 0.215, 0.000927734, 
1431549326, 4, 0, 0, 0, 1, r, waiting, 0, 0, 0, 0, 0.138781, 0.1, 0.20625, 0.171729, 0.215, 0.000927734, 
1431549333, 4, 0, 0, 1, 1, l, reaching, 0.107149, -0.24867, -0.218411, 0.314677, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549334, 4, 0, 0, 0, 1, r, reaching, 0.294323, -0.140438, 0.228286, 0.392535, 0.116286, 0.1, 0.20625, 0.0592526, 0.215, 0.000927734, 
1431549340, 4, 0, 0, 1, 1, r, reaching, 0.169571, -0.210392, 0.150992, 0.311912, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549343, 4, 0, 0, 1, 1, l, reaching, 0.0797996, -0.285049, -0.240262, 0.254673, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549346, 4, 0, 0, 0, 1, r, reaching, 0.146448, -0.220358, 0.131663, 0.291541, 0.143636, 0.1, 0.20625, 0.196002, 0.215, 0.000927734, 
1431549349, 4, 0, 0, 0, 0, r, complete, 0.127933, -0.23209, 0.117861, 0.280825, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549356, 4, 0, 0, 1, 1, l, reaching, 0.264884, -0.108571, -0.243022, 0.408751, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549361, 4, 0, 0, 1, 1, l, reaching, 0.0783647, -0.288014, -0.23187, 0.255614, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549362, 4, 0, 0, 1, 0, l, reaching, 0.0796772, -0.286257, -0.244087, 0.252562, 0.145071, 0.1, 0.20625, 0.203177, 0.215, 0.000927734, 
1431549404, 4, 2, 0, 1, 0, l, complete, 0.0834929, -0.286275, -0.246947, 0.24614, 0.145071, 0.1, 0.20625, 0.203177, 0.215, 0.000927734, 
1431549405, 4, 2, 0, 1, 0, l, complete, 0.0834929, -0.286275, -0.246947, 0.24614, 0.15026, 0.1, 0.20625, 0.229124, 0.215, 0.000927734, 
1431549413, 4, 2, 0, 1, 1, r, reaching, 0.26506, -0.159679, 0.208893, 0.381778, 0.15026, 0.1, 0.20625, 0.229124, 0.215, 0.000927734, 
1431549417, 4, 2, 0, 1, 1, r, reaching, 0.173645, -0.20696, 0.151931, 0.315421, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549420, 4, 2, 0, 0, 1, r, reaching, 0.139822, -0.222872, 0.124739, 0.285663, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549426, 4, 2, 0, 1, 1, r, reaching, 0.107734, -0.245138, 0.10052, 0.277447, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549432, 4, 2, 1, 1, 1, r, reaching, 0.0957085, -0.25909, 0.100698, 0.27659, 0.119243, 0.1, 0.20625, 0.0740378, 0.215, 0.000927734, 
1431549435, 4, 2, 0, 1, 1, r, reaching, 0.0931696, -0.261517, 0.0999021, 0.27555, 0.125131, 0.1, 0.20625, 0.103476, 0.215, 0.000927734, 
1431549436, 4, 2, 0, 1, 0, r, complete, 0.0947265, -0.26645, 0.10941, 0.275823, 0.131798, 0.1, 0.20625, 0.136813, 0.215, 0.000927734, 
1431549445, 4, 2, 0, 1, 1, l, reaching, 0.265851, -0.107506, -0.243365, 0.408765, 0.131798, 0.1, 0.20625, 0.136813, 0.215, 0.000927734, 
1431549450, 4, 2, 0, 1, 1, l, reaching, 0.0807387, -0.2886, -0.220486, 0.256668, 0.124436, 0.1, 0.20625, 0.1, 0.215, 0.000927734, 
1431549453, 4, 2, 0, 1, 1, l, reaching, 0.0860172, -0.283155, -0.251278, 0.24588, 0.143282, 0.1, 0.20625, 0.194234, 0.215, 0.000927734, 
1431549454, 4, 2, 0, 1, 0, l, complete, 0.0871122, -0.282111, -0.252719, 0.245482, 0.147526, 0.1, 0.20625, 0.215454, 0.215, 0.000927734, 
1431549461, 4, 2, 0, 1, 1, l, reaching, 0.123526, -0.234137, -0.221404, 0.331887, 0.147526, 0.1, 0.20625, 0.215454, 0.215, 0.000927734, 
1431549464, 4, 2, 0, 1, 0, l, reaching, 0.0796653, -0.284764, -0.245306, 0.254516, 0.146788, 0.1, 0.20625, 0.211762, 0.215, 0.000927734, 
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1431549543, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.33425, 0.3, 0.38125, 0.025, 0.025, 0.94, 
1431549546, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.25025, 0.15, 0.38125, 0.025, 0.225, 0.47, 
1431549549, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.19825, 0.125, 0.38125, 0.025, 0.225, 0.235, 
1431549552, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.167375, 0.103125, 0.36625, 0.025, 0.225, 0.1175, 
1431549555, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.330406, 0.100781, 0.35125, 0.025, 0.225, 0.95, 
1431549557, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.235328, 0.100391, 0.35125, 0.025, 0.225, 0.475, 
