inpX inpY inpRad outpX outpY outpRad lnkUsg
152.59 73.22 7.8 0 15.47 3.9 0
130.39 61.89 9.6 -11.2 15.42 4.2 3
230.164 106.147 12 20.66 3.27 4.3 1
128.85 24.14 13.1 -9.54 29.38 5.2 5
160 50.04 10.1 0 22.81 4.5 1
170.49 127.62 4.4 1.22 0.62 2.6 2
152.59 166.77 7.8 0 -15.47 3.9 1
84.14 95.35 11 -37 5.86 5.7 -1
84.14 95.35 11 -32.619 5.16 5.3 0
93.47 141.61 10.1 -25.45 -8.26 4.8 1
153.82 138.99 5.1 0 -8.81 3.3 2
190.36 161.79 8.3 6.24 -12.25 3.7 0
202.19 141.5 7.8 12.52 -9.09 3.9 0
190.36 161.79 8.3 9.49 -18.63 4.3 0
134.01 128.44 5.8 -7.16 -1.13 3.2 1
126.51 153.48 7.8 -9.72 -9.72 3.7 1
166.01 121.95 3.7 1.22 0.62 2.6 2
141 126.17 5.1 -4.19 0.66 2.9 1
90.04 119.99 10.1 -22.81 0 4.5 0
90.04 119.99 10.1 -20.66 3.27 4.3 0
149.28 141.02 5.5 0 -8.81 3.3 3
87.16 67.08 12 -17.51 17.51 4.6 0
87.16 67.08 12 -14.79 14.79 4.3 0
69.35 54.14 14.2 -24.99 18.15 5.2 1
169.48 121.5 4 1.22 0.62 2.6 3
157.43 136.22 4.7 -3.36 -4.63 3 0
69.35 54.14 14.2 -28.49 20.7 5.5 0
110.97 155.61 9.1 -12.52 -9.09 3.9 2
173.27 203.78 11.5 4.5 -28.44 5 1
164.87 150.75 6.2 -1.63 -10.29 3.4 1
215.435 106.813 10.1 17.03 2.69 4 0
215.344 106.833 10.1 17.03 2.69 4 1
137.98 97.98 6.2 -5.13 5.13 3.2 2
195.61 169.02 9.1 9.09 -12.52 3.9 0
129.63 161.79 8.3 -37.81 -12.28 5.9 0
93.35 153.95 10.5 -22.06 -11.24 4.6 0
174.63 127.45 4.7 7.16 1.13 3.2 1
128.85 215.85 13.1 -9.54 -29.38 5.2 4
153.67 120 3.7 1.22 0.62 2.6 5
116.71 35.04 12.6 -15.73 21.65 4.8 -1
116.71 35.04 12.6 -11.24 22.06 4.6 4
