inpX inpY inpRad outpX outpY outpRad lnkUsg
69.35 185.85 14.2 -32.16 -23.37 5.9 0
170.82 153.33 6.6 3.72 -11.47 3.6 1
170.2 55.58 9.6 2.69 17.03 4 0
170.2 55.58 9.6 4.78 14.72 3.9 2
84.8 44.8 13.6 -23.35 23.35 5.3 0
172.97 120 4.4 1.22 0.62 2.6 3
146.72 36.21 11.5 -6.58 41.59 6.1 1
235.19 44.8 13.6 17.51 17.51 4.6 0
272.86 96.348 12.6 29.38 9.54 5.2 0
272.72 96.149 12.6 32.619 5.16 5.3 0
272.72 96.149 12.6 29.38 9.54 5.2 0
164.36 111.44 4 1.22 0.62 2.6 0
179.96 120 5.1 1.22 0.62 2.6 1
84.41 81.48 11.5 -32.619 5.16 5.3 0
86.12 131.7 10.5 -28.44 -4.5 5 0
174.91 214.17 12.6 4.5 -28.44 5 7
94.14 210.64 14.2 -26.49 -26.49 5.7 0
84.41 81.48 11.5 -37 5.86 5.7 0
183.3 123.69 5.5 7.16 1.13 3.2 1
155.63 128.55 4 1.22 0.62 2.6 1
260.78 120 13.1 30.89 0 5.2 0
248.186 92.632 12.6 25.45 8.26 4.8 1
143.84 108.26 5.1 -2.99 2.99 2.9 3
64.14 151.14 13.1 -29.43 -14.99 5.3 1
152.54 105.36 4.7 -1.92 3.77 2.9 0
153.82 101 5.1 -0.66 4.19 2.9 0
137.89 103.94 5.8 -5.13 5.13 3.2 1
130.39 178.1 9.6 -7.83 -15.36 4 0
151.22 64.61 8.7 -2.69 17.03 4 0
195.189 112.953 5.8 10.29 1.63 3.4 0
195.193 112.964 5.8 10.29 1.63 3.4 1
132.17 34.37 12 -4.5 28.44 5 0
160 180.59 9.1 0 -15.47 3.9 1
152.59 73.22 7.8 -2.15 13.58 3.7 0
152.59 73.22 7.8 0 15.47 3.9 0
130.39 61.89 9.6 -11.2 15.42 4.2 1
230.164 106.147 12 20.66 3.27 4.3 1
128.85 24.14 13.1 -9.54 29.38 5.2 1
160 50.04 10.1 0 22.81 4.5 1
170.49 127.62 4.4 1.22 0.62 2.6 1
152.59 166.77 7.8 0 -15.47 3.9 1
84.14 95.35 11 -37 5.86 5.7 0
84.14 95.35 11 -32.619 5.16 5.3 0
93.47 141.61 10.1 -25.45 -8.26 4.8 1
153.82 138.99 5.1 0 -8.81 3.3 2
190.36 161.79 8.3 6.24 -12.25 3.7 0
202.19 141.5 7.8 12.52 -9.09 3.9 0
190.36 161.79 8.3 9.49 -18.63 4.3 1
134.01 128.44 5.8 -7.16 -1.13 3.2 1
126.51 153.48 7.8 -9.72 -9.72 3.7 1
166.01 121.95 3.7 1.22 0.62 2.6 0
141 126.17 5.1 -4.19 0.66 2.9 1
90.04 119.99 10.1 -22.81 0 4.5 0
160 220.78 13.1 0 -26.76 4.8 0
90.04 119.99 10.1 -20.66 3.27 4.3 0
