x y radius usage
137.89 103.94 5.8 5
130.39 178.1 9.6 -1
151.22 64.61 8.7 -1
195.189 112.953 5.8 0
195.193 112.964 5.8 0
132.17 34.37 12 0
160 180.59 9.1 1
152.59 73.22 7.8 0
152.59 73.22 7.8 0
130.39 61.89 9.6 1
230.164 106.147 12 0
128.85 24.14 13.1 0
160 50.04 10.1 1
170.49 127.62 4.4 1
152.59 166.77 7.8 1
84.14 95.35 11 0
84.14 95.35 11 0
93.47 141.61 10.1 1
153.82 138.99 5.1 3
190.36 161.79 8.3 1
202.19 141.5 7.8 0
190.36 161.79 8.3 1
134.01 128.44 5.8 1
126.51 153.48 7.8 1
166.01 121.95 3.7 0
141 126.17 5.1 1
90.04 119.99 10.1 0
160 220.78 13.1 0
90.04 119.99 10.1 0
149.28 141.02 5.5 1
87.16 67.08 12 0
135.35 44.14 11 0
87.16 67.08 12 0
69.35 54.14 14.2 0
169.48 121.5 4 1
157.43 136.22 4.7 -1
69.35 54.14 14.2 0
110.97 155.61 9.1 -2
173.27 203.78 11.5 1
164.87 150.75 6.2 1
215.435 106.813 8.7 0
215.344 106.833 8.7 0
137.98 97.98 6.2 1
