Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432293591, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293593, 1, 2, 0, 1, 1, l, reaching, 0.186482, -0.18059, -0.227895, 0.374747, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293597, 1, 2, 0, 1, 0, l, complete, 0.142534, -0.2778, -0.127924, 0.285846, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293599, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293601, 1, 2, 0, 1, 1, l, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293601, 1, 2, 0, 1, 0, l, reaching, 0.231667, -0.13937, -0.23998, 0.395938, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432293844, 4, 1, 0, 1, 0, l, complete, 0.146798, -0.280404, -0.122261, 0.280282, 0.202441, 0.3, 0.35625, 0.00695625, 0.159, 0.19, 
1432293844, 4, 1, 0, 1, 0, l, complete, 0.146798, -0.280404, -0.122261, 0.280282, 0.202441, 0.3, 0.35625, 0.00695625, 0.159, 0.19, 
1432293849, 4, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.202441, 0.3, 0.35625, 0.00695625, 0.159, 0.19, 
1432293849, 4, 1, 0, 0, 1, r, home, 0, 0, 0, 0, 0.202441, 0.3, 0.35625, 0.00695625, 0.159, 0.19, 
1432293852, 4, 1, 0, 0, 0, r, reaching, 0.279485, -0.150209, 0.217009, 0.389161, 0.202441, 0.3, 0.35625, 0.00695625, 0.159, 0.19, 
